Country.Region,Province.State,confirmed_sorted,recovered_sorted,deaths_sorted
Guatemala,total,TRUE,TRUE,TRUE
Guinea,total,TRUE,TRUE,TRUE
Guinea-Bissau,total,TRUE,TRUE,TRUE
Guyana,total,FALSE,TRUE,TRUE
Haiti,total,TRUE,TRUE,TRUE
Holy See,total,TRUE,TRUE,TRUE
Honduras,total,TRUE,TRUE,TRUE
Hungary,total,TRUE,TRUE,TRUE
Iceland,total,TRUE,FALSE,FALSE
India,total,TRUE,TRUE,FALSE
Indonesia,total,TRUE,TRUE,TRUE
Iran,total,TRUE,TRUE,TRUE
Iraq,total,TRUE,TRUE,TRUE
Ireland,total,TRUE,TRUE,TRUE
Israel,total,TRUE,TRUE,TRUE
Italy,Abruzzo,TRUE,TRUE,TRUE
Italy,Basilicata,TRUE,TRUE,TRUE
Italy,Calabria,TRUE,FALSE,FALSE
Italy,Campania,TRUE,FALSE,TRUE
Italy,Emilia-Romagna,TRUE,TRUE,TRUE
Italy,Friuli Venezia Giulia,TRUE,FALSE,TRUE
Italy,Lazio,TRUE,TRUE,TRUE
Italy,Liguria,FALSE,FALSE,TRUE
Italy,Lombardia,TRUE,TRUE,TRUE
Italy,Marche,TRUE,TRUE,TRUE
Italy,Molise,TRUE,TRUE,TRUE
Italy,P.A. Bolzano,TRUE,TRUE,TRUE
Italy,P.A. Trento,TRUE,TRUE,TRUE
Italy,Piemonte,FALSE,TRUE,TRUE
Italy,Puglia,TRUE,FALSE,TRUE
Italy,Sardegna,TRUE,TRUE,TRUE
Italy,Sicilia,FALSE,TRUE,TRUE
Italy,Toscana,TRUE,TRUE,TRUE
Italy,total,TRUE,FALSE,TRUE
Italy,Umbria,TRUE,TRUE,TRUE
Italy,Valle d'Aosta,TRUE,TRUE,TRUE
Italy,Veneto,TRUE,TRUE,TRUE
Jamaica,total,TRUE,TRUE,TRUE
Japan,total,TRUE,TRUE,TRUE
Jordan,total,TRUE,TRUE,TRUE
Kazakhstan,total,TRUE,TRUE,FALSE
Kenya,total,TRUE,TRUE,TRUE
"Korea, South",total,TRUE,FALSE,TRUE
Kosovo,total,TRUE,TRUE,TRUE
Kuwait,total,TRUE,TRUE,TRUE
Kyrgyzstan,total,TRUE,TRUE,TRUE
Laos,total,TRUE,TRUE,TRUE
Latvia,total,TRUE,FALSE,TRUE
Lebanon,total,TRUE,TRUE,TRUE
Liberia,total,TRUE,TRUE,TRUE
Libya,total,TRUE,FALSE,TRUE
Liechtenstein,total,TRUE,TRUE,TRUE
Lithuania,total,TRUE,TRUE,TRUE
Luxembourg,total,TRUE,TRUE,TRUE
Madagascar,total,TRUE,TRUE,TRUE
Malawi,total,TRUE,TRUE,TRUE
Malaysia,total,TRUE,TRUE,TRUE
Maldives,total,TRUE,TRUE,TRUE
Mali,total,TRUE,TRUE,TRUE
Malta,total,TRUE,TRUE,TRUE
Mauritania,total,TRUE,TRUE,TRUE
Mauritius,total,TRUE,TRUE,TRUE
Mexico,total,TRUE,TRUE,TRUE
Moldova,total,TRUE,TRUE,TRUE
Monaco,total,TRUE,TRUE,TRUE
Mongolia,total,TRUE,TRUE,TRUE
Montenegro,total,TRUE,TRUE,TRUE
Morocco,total,TRUE,TRUE,TRUE
Mozambique,total,TRUE,TRUE,TRUE
MS Zaandam,total,TRUE,TRUE,TRUE
Namibia,total,TRUE,TRUE,TRUE
Nepal,total,TRUE,TRUE,TRUE
Netherlands,Aruba,TRUE,TRUE,TRUE
Netherlands,"Bonaire, Sint Eustatius and Saba",TRUE,TRUE,TRUE
Netherlands,Curacao,TRUE,TRUE,TRUE
Netherlands,Sint Maarten,TRUE,TRUE,TRUE
Netherlands,total,TRUE,TRUE,TRUE
New Zealand,total,TRUE,TRUE,TRUE
Nicaragua,total,TRUE,TRUE,TRUE
Niger,total,TRUE,TRUE,TRUE
Nigeria,total,TRUE,TRUE,TRUE
North Macedonia,total,TRUE,TRUE,TRUE
Norway,total,TRUE,TRUE,TRUE
Oman,total,TRUE,TRUE,TRUE
Pakistan,total,TRUE,FALSE,TRUE
Panama,total,TRUE,TRUE,TRUE
Papua New Guinea,total,TRUE,TRUE,TRUE
Paraguay,total,TRUE,TRUE,TRUE
Peru,total,TRUE,TRUE,TRUE
Philippines,total,TRUE,TRUE,FALSE
Poland,total,TRUE,FALSE,TRUE
Portugal,total,TRUE,TRUE,TRUE
Qatar,total,TRUE,TRUE,TRUE
Romania,total,TRUE,TRUE,TRUE
Russia,total,TRUE,TRUE,TRUE
Rwanda,total,TRUE,TRUE,TRUE
Saint Kitts and Nevis,total,TRUE,TRUE,TRUE
Saint Lucia,total,TRUE,TRUE,TRUE
Saint Vincent and the Grenadines,total,TRUE,TRUE,TRUE
San Marino,total,TRUE,TRUE,TRUE
Saudi Arabia,total,TRUE,TRUE,TRUE
Senegal,total,TRUE,TRUE,TRUE
Serbia,total,TRUE,FALSE,FALSE
Seychelles,total,TRUE,TRUE,TRUE
Sierra Leone,total,TRUE,TRUE,TRUE
Singapore,total,TRUE,TRUE,TRUE
Slovakia,total,TRUE,FALSE,FALSE
Slovenia,total,TRUE,TRUE,TRUE
Somalia,total,TRUE,TRUE,TRUE
South Africa,total,TRUE,TRUE,TRUE
Spain,total,TRUE,TRUE,TRUE
Sri Lanka,total,TRUE,FALSE,TRUE
Sudan,total,TRUE,TRUE,TRUE
Suriname,total,TRUE,TRUE,TRUE
Sweden,total,TRUE,TRUE,TRUE
Switzerland,AG,NA,NA,NA
Switzerland,AI,NA,NA,NA
Switzerland,AR,NA,NA,NA
Switzerland,BE,NA,NA,NA
Switzerland,BL,NA,NA,NA
Switzerland,BS,NA,NA,NA
Switzerland,CH,TRUE,TRUE,TRUE
Switzerland,FR,NA,NA,NA
Switzerland,GE,NA,NA,NA
Switzerland,GL,NA,NA,NA
Switzerland,GR,NA,NA,NA
Switzerland,JU,NA,NA,NA
Switzerland,LU,NA,NA,NA
Switzerland,NE,NA,NA,NA
Switzerland,NW,NA,NA,NA
Switzerland,OW,NA,NA,NA
Switzerland,SG,NA,NA,NA
Switzerland,SH,NA,NA,NA
Switzerland,SO,NA,NA,NA
Switzerland,SZ,NA,NA,NA
Switzerland,TG,NA,NA,NA
Switzerland,TI,NA,NA,NA
Switzerland,total,TRUE,TRUE,TRUE
Switzerland,UR,NA,NA,NA
Switzerland,VD,NA,NA,NA
Switzerland,VS,NA,NA,NA
Switzerland,ZG,NA,NA,NA
Switzerland,ZH,NA,NA,NA
Syria,total,TRUE,TRUE,TRUE
Taiwan*,total,TRUE,TRUE,TRUE
Tanzania,total,TRUE,TRUE,TRUE
Thailand,total,TRUE,TRUE,TRUE
Timor-Leste,total,TRUE,TRUE,TRUE
Togo,total,TRUE,TRUE,TRUE
Trinidad and Tobago,total,TRUE,FALSE,TRUE
Tunisia,total,TRUE,TRUE,TRUE
Turkey,total,TRUE,TRUE,TRUE
Uganda,total,TRUE,TRUE,TRUE
Ukraine,total,TRUE,TRUE,TRUE
United Arab Emirates,total,TRUE,TRUE,TRUE
United Kingdom,Anguilla,TRUE,TRUE,TRUE
United Kingdom,Bermuda,TRUE,TRUE,TRUE
United Kingdom,British Virgin Islands,TRUE,TRUE,TRUE
United Kingdom,Cayman Islands,TRUE,TRUE,TRUE
United Kingdom,Channel Islands,TRUE,TRUE,TRUE
United Kingdom,Falkland Islands (Islas Malvinas),TRUE,TRUE,TRUE
United Kingdom,Gibraltar,TRUE,TRUE,TRUE
United Kingdom,Isle of Man,TRUE,TRUE,TRUE
United Kingdom,Montserrat,TRUE,TRUE,TRUE
United Kingdom,total,TRUE,TRUE,TRUE
United Kingdom,Turks and Caicos Islands,FALSE,TRUE,TRUE
Uruguay,total,TRUE,TRUE,TRUE
US,total,TRUE,TRUE,TRUE
Uzbekistan,total,TRUE,TRUE,TRUE
Venezuela,total,TRUE,TRUE,TRUE
Vietnam,total,TRUE,TRUE,TRUE
West Bank and Gaza,total,TRUE,TRUE,TRUE
Zambia,total,TRUE,TRUE,TRUE
Zimbabwe,total,TRUE,TRUE,TRUE
