"","Country.Region","Province.State","date","confirmed","recovered","deaths","hospitalized_symptoms","isolated_at_home","tested","close_observation","suspected","hospitalized_intensive","active"
"1","Italy","total",2020-02-24,229,1,7,101,94,4324,NA,NA,26,221
"2","Italy","total",2020-02-25,322,1,10,114,162,8623,NA,NA,35,311
"3","Italy","total",2020-02-26,400,3,12,128,221,9587,NA,NA,36,385
"4","Italy","total",2020-02-27,650,45,17,248,284,12014,NA,NA,56,588
"5","Italy","total",2020-02-28,888,46,21,345,412,15695,NA,NA,64,821
"6","Italy","total",2020-02-29,1128,50,29,401,543,18661,NA,NA,105,1049
"7","Italy","total",2020-03-01,1694,83,34,639,798,21127,NA,NA,140,1577
"8","Italy","total",2020-03-02,2036,149,52,742,927,23345,NA,NA,166,1835
"9","Italy","total",2020-03-03,2502,160,79,1034,1000,25856,NA,NA,229,2263
"10","Italy","total",2020-03-04,3089,276,107,1346,1065,29837,NA,NA,295,2706
"11","Italy","total",2020-03-05,3858,414,148,1790,1155,32362,NA,NA,351,3296
"12","Italy","total",2020-03-06,4636,523,197,2394,1060,36359,NA,NA,462,3916
"13","Italy","total",2020-03-07,5883,589,233,2651,1843,42062,NA,NA,567,5061
"14","Italy","total",2020-03-08,7375,622,366,3557,2180,49937,NA,NA,650,6387
"15","Italy","total",2020-03-09,9172,724,463,4316,2936,53826,NA,NA,733,7985
"16","Italy","total",2020-03-10,10149,1004,631,5038,2599,60761,NA,NA,877,8514
"17","Italy","total",2020-03-11,12462,1045,827,5838,3724,73154,NA,NA,1028,10590
"18","Italy","total",2020-03-12,15113,1258,1016,6650,5036,86011,NA,NA,1153,12839
"19","Italy","total",2020-03-13,17660,1439,1266,7426,6201,97488,NA,NA,1328,14955
"20","Italy","total",2020-03-14,21157,1966,1441,8372,7860,109170,NA,NA,1518,17750
"21","Italy","total",2020-03-15,24747,2335,1809,9663,9268,124899,NA,NA,1672,20603
"22","Italy","total",2020-03-16,27980,2749,2158,11025,10197,137962,NA,NA,1851,23073
"23","Italy","total",2020-03-17,31506,2941,2503,12894,11108,148657,NA,NA,2060,26062
"24","Italy","total",2020-03-18,35713,4025,2978,14363,12090,165541,NA,NA,2257,28710
"25","Italy","total",2020-03-19,41035,4440,3405,15757,14935,182777,NA,NA,2498,33190
"26","Italy","total",2020-03-20,47021,5129,4032,16020,19185,206886,NA,NA,2655,37860
"27","Italy","total",2020-03-21,53578,6072,4825,17708,22116,233222,NA,NA,2857,42681
"28","Italy","total",2020-03-22,59138,7024,5476,19846,23783,258402,NA,NA,3009,46638
"29","Italy","total",2020-03-23,63927,7432,6077,20692,26522,275468,NA,NA,3204,50418
